enso_phase,n_years,mean_precip_mm,std_precip_mm,mean_flood_km2,std_flood_km2,max_flood_km2
El Nino,4,3004.700765593179,608.4177997263279,455.330904745378,132.33427513386928,564.1042240555521
La Nina,3,3494.351632524298,302.37123283092984,522.1996646361317,11.729704880255282,535.259107296058
Neutral,4,2940.1699919551597,507.4879571017994,420.48543595369466,94.26417216503411,532.5350281724653
