year,month,precip_mm,precip_accum,spi,spi_class
2015,1,250.18045870223816,,,N/A
2015,2,177.90599206521213,,,N/A
2015,3,260.4514392405824,688.5378900080327,-0.340111201515275,Near normal
2015,4,387.3006557890765,825.658087094871,-0.0792322446441801,Near normal
2015,5,265.6927410256912,913.44483605535,-0.8219888755972828,Near normal
2015,6,91.49396167095699,744.4873584857247,-1.2301176475664208,Moderately dry
2015,7,168.727938800603,525.9146414972512,-1.4318655008625463,Moderately dry
2015,8,64.66889182889403,324.890792300454,-0.922613788086354,Near normal
2015,9,116.9391710890867,350.3360017185837,-0.6389516184234298,Near normal
2015,10,355.5133027570789,537.1213656750597,-0.2070475951960338,Near normal
2015,11,442.89390431598065,915.3463781621463,1.2345173787350467,Moderately wet
2015,12,268.566241886127,1066.9734489591865,1.1335158433062582,Moderately wet
2016,1,164.64913611108045,876.109282313188,0.18151447031591436,Near normal
2016,2,136.86661697775233,570.0819949749597,-1.2189626928310604,Moderately dry
2016,3,142.92911737629925,444.444870465132,-1.6815677848890327,Severely dry
2016,4,300.50120580150417,580.2969401555557,-1.4443824770188318,Moderately dry
2016,5,411.13302983575176,854.5633530135551,-1.2876510873202691,Moderately dry
2016,6,105.61743893607105,817.251674573327,-0.7606927330779512,Near normal
2016,7,131.69632160513714,648.4467903769599,-0.6818960684708794,Near normal
2016,8,57.47129818099856,294.7850587222067,-1.1240800483044584,Moderately dry
2016,9,177.44462699724926,366.612246783385,-0.5126646742319424,Near normal
2016,10,262.6453167064948,497.5612418847426,-0.5148423577060841,Near normal
2016,11,199.3978097452155,639.4877534489597,-0.48617888543309745,Near normal
2016,12,269.6874304294752,731.7305568811855,-0.8782967686507586,Near normal
2017,1,403.68537550632817,872.7706156810189,0.15706353299739867,Near normal
2017,2,197.2513302160209,870.6241361518244,0.398365923284066,Near normal
2017,3,358.74984599855037,959.6865517208994,0.8121675064057221,Near normal
2017,4,328.66351326267153,884.6646894772427,0.20684174920883922,Near normal
2017,5,347.2163260852037,1034.6296853464255,0.07636337936871775,Near normal
2017,6,225.1966119513259,901.0764512992012,-0.2536910483972777,Near normal
2017,7,60.795825376892594,633.2087634134223,-0.7695788779362366,Near normal
2017,8,151.33394091901093,437.3263782472294,-0.26784471517711556,Near normal
2017,9,102.6640462714389,314.79381256734246,-0.9293457960710505,Near normal
2017,10,249.31530052809413,503.31328771854396,-0.46908895880811946,Near normal
2017,11,175.34322754425267,527.3225743437856,-1.3307179080170024,Moderately dry
2017,12,205.83666043693773,630.4951885092845,-1.6066269918750964,Severely dry
2018,1,249.18312111297135,630.3630090941617,-1.8179890606117355,Severely dry
